sent-id,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized,statement_spans,num_statements
0,alchemie,Eine besonders bekannte Persönlichkeit ist Maria die Jüdin.,AUG-0,AUG,It's augmentation time!,dataaugmenter,0:=Eine 1:=besonders 2:=bekannte 3:=Persönlichkeit 4:=ist 5:=Maria 6:=die 7:=Jüdin.,"[[0, 1, 2, 3, 4, 5, 6, 7]]",1
1,alchemie,wir können etwas ver-bessern.,AUG-1,AUG,It's augmentation time!,dataaugmenter,0:=wir 1:=können 2:=etwas 3:=ver-bessern.,"[[0, 1, 2, 3]]",1
2,alchemie,"Zum Start, \newline will sie mehr Menschen gesund machen.",AUG-2,AUG,It's augmentation time!,dataaugmenter,"0:=Zum 1:=Start, 2:=\newline 3:=will 4:=sie 5:=mehr 6:=Menschen 7:=gesund 8:=machen.","[[3, 4], [5, 6, 7, 8]]",2
3,alchemie,wir hätten Athanoren benutzt.,AUG-3,AUG,It's augmentation time!,dataaugmenter,0:=wir 1:=hätten 2:=Athanoren 3:=benutzt.,"[[0, 1, 2, 3]]",1
4,alchemie,Forscher hatten Schwarz-pulver erfunden.,AUG-4,AUG,It's augmentation time!,dataaugmenter,0:=Forscher 1:=hatten 2:=Schwarz-pulver 3:=erfunden.,"[[0, 1, 2, 3]]",1
5,alchemie,Und sie habe Geschichte erfunden.,AUG-5,AUG,It's augmentation time!,dataaugmenter,0:=Und 1:=sie 2:=habe 3:=Geschichte 4:=erfunden.,"[[0, 1, 2, 3, 4]]",1
6,alchemie,Al war ein gutes Wort.,AUG-6,AUG,It's augmentation time!,dataaugmenter,0:=Al 1:=war 2:=ein 3:=gutes 4:=Wort.,"[[0, 1, 2, 3, 4]]",1
7,alchemie,Chemie ist Chemie.,AUG-7,AUG,It's augmentation time!,dataaugmenter,0:=Chemie 1:=ist 2:=Chemie.,"[[0, 1, 2]]",1
8,alchemie,Es wurden Experimente und Experimente gemacht.,AUG-8,AUG,It's augmentation time!,dataaugmenter,0:=Es 1:=wurden 2:=Experimente 3:=und 4:=Experimente 5:=gemacht.,"[[2], [4]]",2
9,alchemie,Damit man versteht wie etwas funktioniert.,AUG-9,AUG,It's augmentation time!,dataaugmenter,0:=Damit 1:=man 2:=versteht 3:=wie 4:=etwas 5:=funktioniert.,"[[0, 1, 2], [3, 4, 5]]",2
10,alchemie,Durch Zufall kauft man teure Sachen.,AUG-10,AUG,It's augmentation time!,dataaugmenter,0:=Durch 1:=Zufall 2:=kauft 3:=man 4:=teure 5:=Sachen.,"[[0, 1, 2, 3, 4, 5]]",1
11,alchemie,Zum Thema wie man Porzellan kauft.,AUG-11,AUG,It's augmentation time!,dataaugmenter,0:=Zum 1:=Thema 2:=wie 3:=man 4:=Porzellan 5:=kauft.,"[[0, 1, 2, 3, 4, 5]]",1
