sent-id,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized,statement_spans,num_statements,replaced_postag
0,alchemie,Eine sehr bekannte Persönlichkeit war Maria die Jüdin.,AUG-0,AUG,It's augmentation time!,dataaugmenter,0:=Eine 1:=sehr 2:=bekannte 3:=Persönlichkeit 4:=war 5:=Maria 6:=die 7:=Jüdin.,"[[0, 1, 2, 3, 4, 5, 6, 7]]",1,NOUN
1,alchemie,Eine sehr frühe Alchemisten war Maria die Jüdin.,AUG-1,AUG,It's augmentation time!,dataaugmenter,0:=Eine 1:=sehr 2:=frühe 3:=Alchemisten 4:=war 5:=Maria 6:=die 7:=Jüdin.,"[[0, 1, 2, 3, 4, 5, 6, 7]]",1,ADJ
2,alchemie,Alchemisten können etwas ver-bessern.,AUG-2,AUG,It's augmentation time!,dataaugmenter,0:=Alchemisten 1:=können 2:=etwas 3:=ver-bessern.,"[[0, 1, 2, 3]]",1,AUX
3,alchemie,Alchemisten wollen etwas ändern.,AUG-3,AUG,It's augmentation time!,dataaugmenter,0:=Alchemisten 1:=wollen 2:=etwas 3:=ändern.,"[[0, 1, 2, 3]]",1,VERB
4,alchemie,"Zum Start, \newline wollen sie kranke Menschen gesund machen.",AUG-4,AUG,It's augmentation time!,dataaugmenter,"0:=Zum 1:=Start, 2:=\newline 3:=wollen 4:=sie 5:=kranke 6:=Menschen 7:=gesund 8:=machen.","[[3, 4], [5, 6, 7, 8]]",2,NOUN
5,alchemie,"Zum Beispiel, \newline wollen sie kranke Kinder gesund machen.",AUG-5,AUG,It's augmentation time!,dataaugmenter,"0:=Zum 1:=Beispiel, 2:=\newline 3:=wollen 4:=sie 5:=kranke 6:=Kinder 7:=gesund 8:=machen.","[[3, 4], [5, 6, 7, 8]]",2,NOUN
6,alchemie,"Zum Beispiel, \newline soll sie kranke Menschen gesund machen.",AUG-6,AUG,It's augmentation time!,dataaugmenter,"0:=Zum 1:=Beispiel, 2:=\newline 3:=soll 4:=sie 5:=kranke 6:=Menschen 7:=gesund 8:=machen.","[[3, 4], [5, 6, 7, 8]]",2,AUX
7,alchemie,"Zum Beispiel, \newline wollen sie kranke Menschen gesund halten.",AUG-7,AUG,It's augmentation time!,dataaugmenter,"0:=Zum 1:=Beispiel, 2:=\newline 3:=wollen 4:=sie 5:=kranke 6:=Menschen 7:=gesund 8:=halten.","[[3, 4], [5, 6, 7, 8]]",2,VERB
8,alchemie,"Zum Beispiel, \newline wollen sie mehr Menschen gesund machen.",AUG-8,AUG,It's augmentation time!,dataaugmenter,"0:=Zum 1:=Beispiel, 2:=\newline 3:=wollen 4:=sie 5:=mehr 6:=Menschen 7:=gesund 8:=machen.","[[3, 4], [5, 6, 7, 8]]",2,ADJ
9,alchemie,"Zum Beispiel, \newline wollen sie kranke Menschen fit machen.",AUG-9,AUG,It's augmentation time!,dataaugmenter,"0:=Zum 1:=Beispiel, 2:=\newline 3:=wollen 4:=sie 5:=kranke 6:=Menschen 7:=fit 8:=machen.","[[3, 4], [5, 6, 7, 8]]",2,ADV
10,alchemie,Alchemisten hatten Athanoren benutzt.,AUG-10,AUG,It's augmentation time!,dataaugmenter,0:=Alchemisten 1:=hatten 2:=Athanoren 3:=benutzt.,"[[0, 1, 2, 3]]",1,AUX
11,alchemie,Alchemisten haben Athanoren erfunden.,AUG-11,AUG,It's augmentation time!,dataaugmenter,0:=Alchemisten 1:=haben 2:=Athanoren 3:=erfunden.,"[[0, 1, 2, 3]]",1,VERB
12,alchemie,Forscher haben Schwarz-pulver erfunden.,AUG-12,AUG,It's augmentation time!,dataaugmenter,0:=Forscher 1:=haben 2:=Schwarz-pulver 3:=erfunden.,"[[0, 1, 2, 3]]",1,PROPN
13,alchemie,Sue haben wir erfunden.,AUG-13,AUG,It's augmentation time!,dataaugmenter,0:=Sue 1:=haben 2:=wir 3:=erfunden.,"[[0, 1, 2, 3]]",1,NOUN
14,alchemie,Und sie hatten Porzellan erfunden.,AUG-14,AUG,It's augmentation time!,dataaugmenter,0:=Und 1:=sie 2:=hatten 3:=Porzellan 4:=erfunden.,"[[0, 1, 2, 3, 4]]",1,AUX
15,alchemie,Und sie haben Porzellan geliefert.,AUG-15,AUG,It's augmentation time!,dataaugmenter,0:=Und 1:=sie 2:=haben 3:=Porzellan 4:=geliefert.,"[[0, 1, 2, 3, 4]]",1,VERB
16,alchemie,Alchemie ist ein arabisches Phänomen.,AUG-16,AUG,It's augmentation time!,dataaugmenter,0:=Alchemie 1:=ist 2:=ein 3:=arabisches 4:=Phänomen.,"[[0, 1, 2, 3, 4]]",1,NOUN
17,alchemie,Alchemie war ein arabisches Wort.,AUG-17,AUG,It's augmentation time!,dataaugmenter,0:=Alchemie 1:=war 2:=ein 3:=arabisches 4:=Wort.,"[[0, 1, 2, 3, 4]]",1,AUX
18,alchemie,Alchemie ist ein altes Wort.,AUG-18,AUG,It's augmentation time!,dataaugmenter,0:=Alchemie 1:=ist 2:=ein 3:=altes 4:=Wort.,"[[0, 1, 2, 3, 4]]",1,ADJ
19,alchemie,Chemie ist Chemie.,AUG-19,AUG,It's augmentation time!,dataaugmenter,0:=Chemie 1:=ist 2:=Chemie.,"[[0, 1, 2]]",1,NOUN
20,alchemie,Alchemie ist Kunst.,AUG-20,AUG,It's augmentation time!,dataaugmenter,0:=Alchemie 1:=ist 2:=Kunst.,"[[0, 1, 2]]",1,NOUN
21,alchemie,Es werden Experimente und Experimente gemacht.,AUG-21,AUG,It's augmentation time!,dataaugmenter,0:=Es 1:=werden 2:=Experimente 3:=und 4:=Experimente 5:=gemacht.,"[[2], [4]]",2,NOUN
